Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1330,1407,1369,38.91,7,1369.0,0.049,1305.0,118.56,1
Resistance,1464,1533,1499,34.84,18,1499.0,0.1487,1305.0,113.45,2
Resistance,1613,1675,1644,30.62,25,1644.0,0.2598,1305.0,92.67,3
Resistance,1705,1769,1737,31.63,28,1737.0,0.331,1305.0,82.1,4
Resistance,1816,1896,1856,40.4,10,1856.0,0.4222,1305.0,23.14,5
Resistance,2179,2252,2215,36.43,13,2215.0,0.6973,1305.0,18.38,6
Resistance,2027,2115,2071,44.2,7,2071.0,0.587,1305.0,11.73,7
Resistance,2342,2428,2385,42.9,6,2385.0,0.8276,1305.0,7.16,8
Resistance,2786,2947,2867,80.21,3,2867.0,1.1969,1305.0,2.49,9
Resistance,2522,2713,2618,95.46,2,2618.0,1.0061,1305.0,1.97,10
Support,1273,1299,1286,12.94,5,1286.0,0.0146,1305.0,203.59,1
Support,1207,1243,1225,17.89,6,1225.0,0.0613,1305.0,84.15,2
Support,989,1011,1000,10.85,13,1000.0,0.2337,1305.0,53.34,3
Support,944,973,958,14.53,12,958.0,0.2659,1305.0,43.49,4
Support,230,264,247,16.63,29,247.0,0.8107,1305.0,35.33,5
Support,1079,1131,1105,25.98,3,1105.0,0.1533,1305.0,18.38,6
Support,299,318,308,9.42,12,308.0,0.764,1305.0,15.5,7
Support,569,582,576,6.54,5,576.0,0.5586,1305.0,8.79,8
Support,420,437,429,8.32,5,429.0,0.6713,1305.0,7.34,9
Support,767,785,776,8.72,3,776.0,0.4054,1305.0,7.22,10
