Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,125,165,145,19.92,48,145.0,0.2719,114.0,170.26,1
Resistance,205,243,224,18.86,37,224.0,0.9649,114.0,37.95,2
Resistance,285,336,311,25.25,20,311.0,1.7281,114.0,11.51,3
Resistance,469,512,491,21.16,20,491.0,3.307,114.0,6.03,4
Resistance,530,578,554,24.06,17,554.0,3.8596,114.0,4.39,5
Resistance,372,419,395,23.55,10,395.0,2.4649,114.0,4.04,6
Resistance,673,748,710,37.91,11,710.0,5.2281,114.0,2.1,7
Resistance,791,889,840,49.5,2,840.0,6.3684,114.0,0.31,8
Resistance,1208,1392,1300,91.79,3,1300.0,10.4035,114.0,0.29,9
Resistance,1550,1550,1550,0.0,1,1550.0,12.5965,114.0,0.08,10
Support,110,113,112,1.24,9,112.0,0.0175,114.0,326.75,1
Support,97,98,97,0.45,5,97.0,0.1491,114.0,31.42,2
Support,100,104,102,2.08,3,102.0,0.1053,114.0,26.03,3
Support,60,63,61,1.32,10,61.0,0.4649,114.0,21.06,4
Support,64,69,67,2.59,5,67.0,0.4123,114.0,11.84,5
Support,79,79,79,0.0,2,79.0,0.307,114.0,6.31,6
Support,58,59,59,0.71,2,59.0,0.4825,114.0,4.06,7
Support,53,55,54,1.41,2,54.0,0.5263,114.0,3.73,8
Support,83,83,83,0.0,1,83.0,0.2719,114.0,3.55,9
Support,76,76,76,0.0,1,76.0,0.3333,114.0,2.91,10
