Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,198,205,201,3.19,23,201.0,0.0308,195.0,564.15,1
Resistance,210,218,214,4.07,35,214.0,0.0974,195.0,325.78,2
Resistance,227,240,233,6.5,32,233.0,0.1949,195.0,156.2,3
Resistance,245,259,252,6.81,17,252.0,0.2923,195.0,56.23,4
Resistance,301,324,312,11.12,12,312.0,0.6,195.0,19.67,5
Resistance,266,280,273,7.09,8,273.0,0.4,195.0,19.51,6
Resistance,335,367,351,16.36,11,351.0,0.8,195.0,13.58,7
Support,186,190,188,1.91,13,188.0,0.0359,195.0,283.24,1
Support,191,194,193,1.53,3,193.0,0.0103,195.0,148.1,2
Support,181,182,182,0.76,7,182.0,0.0667,195.0,91.3,3
Support,159,161,160,1.04,13,160.0,0.1795,195.0,68.61,4
Support,175,179,177,1.89,4,177.0,0.0923,195.0,39.1,5
Support,165,168,166,1.37,6,166.0,0.1487,195.0,37.8,6
Support,154,155,155,0.71,2,155.0,0.2051,195.0,9.3,7
