Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,397,418,407,10.78,6,407.0,0.0544,386.0,93.16,1
Resistance,432,434,433,1.15,3,433.0,0.1218,386.0,22.77,2
Resistance,535,559,547,11.51,5,547.0,0.4171,386.0,11.71,3
Resistance,480,506,493,12.53,3,493.0,0.2772,386.0,10.45,4
Resistance,573,597,585,11.73,5,585.0,0.5155,386.0,9.51,5
Resistance,625,625,625,0.0,1,625.0,0.6192,386.0,1.59,6
Resistance,665,665,665,0.0,1,665.0,0.7228,386.0,1.36,7
Support,305,354,329,24.71,18,329.0,0.1477,386.0,114.16,1
Support,255,288,272,16.72,26,272.0,0.2953,386.0,85.15,2
Support,80,98,89,8.73,57,89.0,0.7694,386.0,73.13,3
Support,163,177,170,7.1,23,170.0,0.5596,386.0,40.38,4
Support,109,124,117,7.38,21,117.0,0.6969,386.0,29.71,5
Support,183,208,196,12.26,13,196.0,0.4922,386.0,25.88,6
Support,140,156,148,7.8,13,148.0,0.6166,386.0,20.75,7
