Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,125,165,145,19.92,48
Resistance,205,243,224,18.86,37
Resistance,285,336,311,25.25,20
Resistance,372,419,395,23.55,10
Resistance,469,512,491,21.16,20
Resistance,530,578,554,24.06,17
Resistance,669,792,730,61.39,13
Resistance,1208,1392,1300,91.79,3
Resistance,1550,1550,1550,0.0,1
Support,53,58,55,2.52,3
Support,60,62,61,1.41,11
Support,64,69,67,2.59,5
Support,76,76,76,0.0,1
Support,79,79,79,0.0,2
Support,83,83,83,0.0,1
Support,97,98,97,0.45,5
Support,100,104,102,2.08,3
Support,110,113,112,1.24,9
