Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,186,190,188,2.07,23
Resistance,193,198,195,2.54,30
Resistance,203,208,206,2.83,23
Resistance,212,217,215,2.53,16
Resistance,220,224,222,2.14,8
Resistance,231,238,234,3.61,16
Resistance,245,261,253,7.95,5
Resistance,278,292,285,7.02,3
Resistance,303,325,314,11.31,2
Support,62,63,62,0.71,2
Support,77,77,77,0.0,1
Support,88,102,95,7.07,2
Support,109,114,111,2.7,5
Support,116,119,118,1.67,9
Support,123,127,125,2.14,12
Support,136,136,136,0.0,2
Support,160,160,160,0.0,1
Support,175,181,178,2.96,39
