Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,88,99,93,5.24,6
Resistance,114,120,117,3.0,8
Resistance,125,132,128,3.37,8
Resistance,136,143,139,3.41,11
Resistance,149,158,154,4.75,7
Resistance,166,178,172,5.74,6
Resistance,186,196,191,5.17,9
Resistance,220,220,220,0.0,1
Resistance,246,246,246,0.0,1
Support,50,53,51,1.38,6
Support,55,56,56,0.55,5
Support,58,60,59,0.75,6
Support,61,63,62,0.84,5
Support,64,65,65,0.5,4
Support,67,68,68,0.55,5
Support,69,70,70,0.58,3
Support,73,74,74,0.58,3
Support,80,80,80,0.0,1
