Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,149,159,154,5.39,19
Resistance,164,170,167,2.95,26
Resistance,176,185,180,4.65,21
Resistance,245,266,256,10.76,22
Resistance,287,307,297,9.94,15
Resistance,314,327,321,6.11,17
Resistance,335,349,342,7.24,10
Resistance,377,411,394,17.09,3
Resistance,442,442,442,0.0,1
Support,55,61,58,2.83,2
Support,70,74,72,2.08,3
Support,82,86,84,1.97,6
Support,89,93,91,2.22,4
Support,96,101,99,2.33,8
Support,104,109,106,2.12,2
Support,111,116,113,2.79,9
Support,125,125,125,0.0,2
Support,132,133,133,0.58,3
