Tanggal,Open,High,Low,Close,Volume
2019-12-26,226.59825134277344,228.51858520507812,226.59825134277344,228.51858520507812,208
2019-12-27,228.51858520507812,228.51858520507812,226.59825134277344,226.59825134277344,2291
2019-12-30,226.59825134277344,226.59825134277344,226.59825134277344,226.59825134277344,4790
2020-01-02,228.51858520507812,243.8811798095703,218.91696166992188,220.8372802734375,73216
2020-01-03,222.7576141357422,222.7576141357422,220.8372802734375,220.8372802734375,634788
2020-01-06,220.8372802734375,222.7576141357422,218.91696166992188,218.91696166992188,530952
2020-01-07,218.91696166992188,230.43890380859375,218.91696166992188,230.43890380859375,56761
2020-01-08,220.8372802734375,220.8372802734375,220.8372802734375,220.8372802734375,19267
2020-01-09,220.8372802734375,238.12020874023438,220.8372802734375,222.7576141357422,568445
2020-01-10,222.7576141357422,226.59825134277344,222.7576141357422,226.59825134277344,1145
2020-01-13,216.9966278076172,249.64215087890625,216.9966278076172,240.04052734375,1210524
2020-01-14,238.12020874023438,240.04052734375,230.43890380859375,230.43890380859375,554385
2020-01-15,230.43890380859375,230.43890380859375,224.6779327392578,224.6779327392578,26037
2020-01-16,222.7576141357422,240.04052734375,220.8372802734375,228.51858520507812,778410
2020-01-17,240.04052734375,240.04052734375,228.51858520507812,240.04052734375,341921
2020-01-20,230.43890380859375,240.04052734375,230.43890380859375,232.35922241210938,30515
2020-01-21,230.43890380859375,230.43890380859375,230.43890380859375,230.43890380859375,54678
2020-01-22,230.43890380859375,238.12020874023438,230.43890380859375,238.12020874023438,12289
2020-01-23,232.35922241210938,232.35922241210938,232.35922241210938,232.35922241210938,21871
2020-01-24,230.43890380859375,232.35922241210938,230.43890380859375,232.35922241210938,5832
2020-01-27,228.51858520507812,230.43890380859375,228.51858520507812,228.51858520507812,26141
2020-01-28,213.15599060058594,215.07630920410156,201.63404846191406,205.4746856689453,292658
2020-01-29,209.31533813476562,224.6779327392578,205.4746856689453,205.4746856689453,3340373
2020-01-30,209.31533813476562,211.23565673828125,209.31533813476562,211.23565673828125,40305
2020-01-31,211.23565673828125,220.8372802734375,211.23565673828125,213.15599060058594,20517
2020-02-03,201.63404846191406,218.91696166992188,201.63404846191406,205.4746856689453,343587
2020-02-04,211.23565673828125,216.9966278076172,205.4746856689453,205.4746856689453,437842
2020-02-05,201.63404846191406,220.8372802734375,201.63404846191406,213.15599060058594,527410
2020-02-06,205.4746856689453,205.4746856689453,205.4746856689453,205.4746856689453,208
2020-02-07,205.4746856689453,205.4746856689453,205.4746856689453,205.4746856689453,0
2020-02-10,199.71371459960938,211.23565673828125,199.71371459960938,201.63404846191406,1458
2020-02-11,201.63404846191406,209.31533813476562,195.87306213378906,201.63404846191406,314113
2020-02-12,201.63404846191406,215.07630920410156,201.63404846191406,211.23565673828125,3020
2020-02-13,211.23565673828125,211.23565673828125,211.23565673828125,211.23565673828125,0
2020-02-14,192.0324249267578,207.39501953125,192.0324249267578,207.39501953125,1353
2020-02-17,209.31533813476562,213.15599060058594,205.4746856689453,205.4746856689453,18955
2020-02-18,197.79339599609375,203.5543670654297,197.79339599609375,203.5543670654297,10414
2020-02-19,201.63404846191406,209.31533813476562,201.63404846191406,209.31533813476562,52491
2020-02-20,201.63404846191406,201.63404846191406,201.63404846191406,201.63404846191406,11456
2020-02-21,199.71371459960938,199.71371459960938,199.71371459960938,199.71371459960938,104
2020-02-24,193.95274353027344,195.87306213378906,193.95274353027344,193.95274353027344,1024618
2020-02-25,193.95274353027344,205.4746856689453,192.0324249267578,193.95274353027344,59677
2020-02-26,184.3511199951172,187.2316131591797,184.3511199951172,184.3511199951172,48741
2020-02-27,189.1519317626953,199.71371459960938,189.1519317626953,190.11209106445312,427844
2020-02-28,192.0324249267578,199.71371459960938,191.072265625,191.072265625,309218
2020-03-02,182.43080139160156,191.072265625,182.43080139160156,191.072265625,1249
2020-03-03,191.072265625,191.072265625,191.072265625,191.072265625,0
2020-03-04,192.0324249267578,209.31533813476562,192.0324249267578,192.0324249267578,8540
2020-03-05,211.23565673828125,211.23565673828125,195.87306213378906,195.87306213378906,3853
2020-03-06,179.55030822753906,193.95274353027344,179.55030822753906,191.072265625,520
2020-03-09,191.072265625,191.072265625,176.66983032226562,176.66983032226562,234231
2020-03-10,181.47064208984375,201.63404846191406,181.47064208984375,192.0324249267578,246208
2020-03-11,190.11209106445312,190.11209106445312,184.3511199951172,184.3511199951172,103420
2020-03-12,184.3511199951172,184.3511199951172,184.3511199951172,184.3511199951172,0
2020-03-13,184.3511199951172,184.3511199951172,172.8291778564453,182.43080139160156,79465
2020-03-16,172.8291778564453,172.8291778564453,172.8291778564453,172.8291778564453,12497
2020-03-17,169.9486846923828,169.9486846923828,161.30723571777344,161.30723571777344,6873
2020-03-18,161.30723571777344,161.30723571777344,150.74545288085938,150.74545288085938,84673
2020-03-19,142.10398864746094,170.9088592529297,141.14382934570312,142.10398864746094,1981540
2020-03-20,141.14382934570312,165.14788818359375,141.14382934570312,144.02432250976562,116959
2020-03-23,135.3828582763672,138.26333618164062,135.3828582763672,138.26333618164062,416
2020-03-24,144.02432250976562,144.02432250976562,144.02432250976562,144.02432250976562,104
2020-03-26,168.988525390625,170.9088592529297,149.78529357910156,149.78529357910156,3645
2020-03-27,150.74545288085938,162.26739501953125,150.74545288085938,162.26739501953125,21038
2020-03-30,153.6259307861328,153.6259307861328,153.6259307861328,153.6259307861328,104
2020-03-31,154.5861053466797,199.71371459960938,151.7056121826172,155.5462646484375,9581
2020-04-01,153.6259307861328,153.6259307861328,148.8251190185547,153.6259307861328,20309
2020-04-02,144.98448181152344,153.6259307861328,144.98448181152344,153.6259307861328,1041
2020-04-03,153.6259307861328,153.6259307861328,153.6259307861328,153.6259307861328,5519
2020-04-06,152.665771484375,160.34707641601562,152.665771484375,159.38690185546875,4999
2020-04-07,193.95274353027344,193.95274353027344,155.5462646484375,155.5462646484375,4270
2020-04-08,148.8251190185547,148.8251190185547,148.8251190185547,148.8251190185547,104
2020-04-09,149.78529357910156,149.78529357910156,149.78529357910156,149.78529357910156,104
2020-04-13,149.78529357910156,153.6259307861328,140.1836700439453,144.98448181152344,254956
2020-04-14,149.78529357910156,168.0283660888672,149.78529357910156,168.0283660888672,115605
2020-04-15,168.0283660888672,189.1519317626953,162.26739501953125,188.1917724609375,1353
2020-04-16,184.3511199951172,192.0324249267578,178.59014892578125,190.11209106445312,12602
2020-04-17,180.51046752929688,190.11209106445312,177.62998962402344,190.11209106445312,1249
2020-04-20,193.95274353027344,193.95274353027344,178.59014892578125,190.11209106445312,6873
2020-04-21,178.59014892578125,192.0324249267578,177.62998962402344,187.2316131591797,34681
2020-04-22,174.74949645996094,192.0324249267578,174.74949645996094,192.0324249267578,17184
2020-04-23,179.55030822753906,192.0324249267578,178.59014892578125,187.2316131591797,120188
2020-04-24,192.0324249267578,192.0324249267578,192.0324249267578,192.0324249267578,104
2020-04-27,189.1519317626953,189.1519317626953,180.51046752929688,189.1519317626953,729
2020-04-28,189.1519317626953,189.1519317626953,176.66983032226562,188.1917724609375,17809
2020-04-29,192.0324249267578,192.0324249267578,191.072265625,191.072265625,1770
2020-04-30,180.51046752929688,191.072265625,178.59014892578125,186.27145385742188,127790
2020-05-04,186.27145385742188,186.27145385742188,186.27145385742188,186.27145385742188,0
2020-05-05,185.311279296875,185.311279296875,185.311279296875,185.311279296875,1562
2020-05-06,185.311279296875,189.1519317626953,185.311279296875,189.1519317626953,729
2020-05-08,192.0324249267578,192.0324249267578,179.55030822753906,182.43080139160156,1145
2020-05-11,192.0324249267578,192.0324249267578,170.9088592529297,177.62998962402344,1353
2020-05-12,182.43080139160156,182.43080139160156,182.43080139160156,182.43080139160156,208
2020-05-13,192.0324249267578,192.0324249267578,188.1917724609375,191.072265625,41867
2020-05-14,191.072265625,191.072265625,179.55030822753906,191.072265625,416
2020-05-15,191.072265625,191.072265625,191.072265625,191.072265625,0
2020-05-18,179.55030822753906,187.2316131591797,178.59014892578125,178.59014892578125,47283
2020-05-19,187.2316131591797,187.2316131591797,166.10804748535156,186.27145385742188,23225
2020-05-20,186.27145385742188,186.27145385742188,186.27145385742188,186.27145385742188,0
2020-05-26,177.62998962402344,191.072265625,176.66983032226562,191.072265625,3436
2020-05-27,186.27145385742188,207.39501953125,178.59014892578125,207.39501953125,1414240
2020-05-28,207.39501953125,207.39501953125,199.71371459960938,201.63404846191406,9685
2020-05-29,201.63404846191406,201.63404846191406,188.1917724609375,199.71371459960938,25204
2020-06-02,199.71371459960938,201.63404846191406,186.27145385742188,192.0324249267578,8956
2020-06-03,201.63404846191406,224.6779327392578,178.59014892578125,192.0324249267578,394204
2020-06-04,192.0324249267578,192.0324249267578,182.43080139160156,192.0324249267578,30932
2020-06-05,192.0324249267578,192.0324249267578,178.59014892578125,182.43080139160156,1192298
2020-06-08,188.1917724609375,188.1917724609375,178.59014892578125,186.27145385742188,15309
2020-06-09,192.0324249267578,192.0324249267578,178.59014892578125,188.1917724609375,42909
2020-06-10,192.0324249267578,192.0324249267578,187.2316131591797,191.072265625,12081
2020-06-11,191.072265625,192.0324249267578,191.072265625,192.0324249267578,1666
2020-06-12,192.0324249267578,192.0324249267578,179.55030822753906,192.0324249267578,5728
2020-06-15,193.95274353027344,193.95274353027344,181.47064208984375,190.11209106445312,4895
2020-06-16,192.0324249267578,192.0324249267578,180.51046752929688,192.0324249267578,36868
2020-06-17,193.95274353027344,193.95274353027344,192.0324249267578,192.0324249267578,52699
2020-06-18,193.95274353027344,193.95274353027344,192.0324249267578,193.95274353027344,11456
2020-06-19,193.95274353027344,236.1998748779297,193.95274353027344,230.43890380859375,71967
2020-06-22,220.8372802734375,220.8372802734375,215.07630920410156,215.07630920410156,3853
2020-06-23,205.4746856689453,209.31533813476562,201.63404846191406,201.63404846191406,41763
2020-06-24,195.87306213378906,201.63404846191406,192.0324249267578,201.63404846191406,21142
2020-06-25,190.11209106445312,207.39501953125,190.11209106445312,207.39501953125,4061
2020-06-26,201.63404846191406,209.31533813476562,193.95274353027344,209.31533813476562,81132
2020-06-29,195.87306213378906,209.31533813476562,195.87306213378906,209.31533813476562,16247
2020-06-30,195.87306213378906,205.4746856689453,195.87306213378906,195.87306213378906,27391
2020-07-01,189.1519317626953,195.87306213378906,182.43080139160156,192.0324249267578,256519
2020-07-02,199.71371459960938,199.71371459960938,182.43080139160156,192.0324249267578,4374
2020-07-03,192.0324249267578,205.4746856689453,182.43080139160156,192.0324249267578,2603
