Tanggal,Open,High,Low,Close,Volume
,DEWA.JK,DEWA.JK,DEWA.JK,DEWA.JK,DEWA.JK
2020-02-24,50.0,50.0,50.0,50.0,0
2020-02-25,50.0,50.0,50.0,50.0,100
2020-02-26,50.0,50.0,50.0,50.0,5100
2020-02-27,50.0,50.0,50.0,50.0,100
2020-02-28,50.0,50.0,50.0,50.0,200
2020-03-02,50.0,50.0,50.0,50.0,100
2020-03-03,50.0,50.0,50.0,50.0,10100
2020-03-04,50.0,50.0,50.0,50.0,600
2020-03-05,50.0,50.0,50.0,50.0,500
2020-03-06,50.0,50.0,50.0,50.0,400
2020-03-09,50.0,50.0,50.0,50.0,0
2020-03-10,50.0,50.0,50.0,50.0,0
2020-03-11,50.0,50.0,50.0,50.0,400
2020-03-12,50.0,50.0,50.0,50.0,0
2020-03-13,50.0,50.0,50.0,50.0,100
2020-03-16,50.0,50.0,50.0,50.0,200
2020-03-17,50.0,50.0,50.0,50.0,2000
2020-03-18,50.0,50.0,50.0,50.0,0
2020-03-19,50.0,50.0,50.0,50.0,0
2020-03-20,50.0,50.0,50.0,50.0,0
2020-03-23,50.0,50.0,50.0,50.0,1000
2020-03-24,50.0,50.0,50.0,50.0,2000
2020-03-26,50.0,50.0,50.0,50.0,1000
2020-03-27,50.0,50.0,50.0,50.0,2100
2020-03-30,50.0,50.0,50.0,50.0,16300
2020-03-31,50.0,50.0,50.0,50.0,0
2020-04-01,50.0,50.0,50.0,50.0,0
2020-04-02,50.0,50.0,50.0,50.0,0
2020-04-03,50.0,50.0,50.0,50.0,300
2020-04-06,50.0,50.0,50.0,50.0,104800
2020-04-07,50.0,50.0,50.0,50.0,100
2020-04-08,50.0,50.0,50.0,50.0,100
2020-04-09,50.0,50.0,50.0,50.0,1400
2020-04-13,50.0,50.0,50.0,50.0,400
2020-04-14,50.0,50.0,50.0,50.0,5000
2020-04-15,50.0,50.0,50.0,50.0,300000
2020-04-16,50.0,50.0,50.0,50.0,10000
2020-04-17,50.0,50.0,50.0,50.0,0
2020-04-20,50.0,50.0,50.0,50.0,300
2020-04-21,50.0,50.0,50.0,50.0,100
2020-04-22,50.0,50.0,50.0,50.0,100
2020-04-23,50.0,50.0,50.0,50.0,500
2020-04-24,50.0,50.0,50.0,50.0,1800
2020-04-27,50.0,50.0,50.0,50.0,1100
2020-04-28,50.0,50.0,50.0,50.0,400
2020-04-29,50.0,50.0,50.0,50.0,200
2020-04-30,50.0,50.0,50.0,50.0,1900
2020-05-04,50.0,50.0,50.0,50.0,120200
2020-05-05,50.0,50.0,50.0,50.0,400
2020-05-06,50.0,50.0,50.0,50.0,1100
2020-05-08,50.0,50.0,50.0,50.0,0
2020-05-11,50.0,50.0,50.0,50.0,100
2020-05-12,50.0,50.0,50.0,50.0,300
2020-05-13,50.0,50.0,50.0,50.0,100
2020-05-14,50.0,50.0,50.0,50.0,0
2020-05-15,50.0,50.0,50.0,50.0,2400
2020-05-18,50.0,50.0,50.0,50.0,400
2020-05-19,50.0,50.0,50.0,50.0,300
2020-05-20,50.0,50.0,50.0,50.0,200
2020-05-26,50.0,50.0,50.0,50.0,500
2020-05-27,50.0,50.0,50.0,50.0,200
2020-05-28,50.0,50.0,50.0,50.0,20200
2020-05-29,50.0,50.0,50.0,50.0,0
2020-06-02,50.0,50.0,50.0,50.0,900
2020-06-03,50.0,50.0,50.0,50.0,500
2020-06-04,50.0,50.0,50.0,50.0,200
2020-06-05,50.0,50.0,50.0,50.0,301400
2020-06-08,50.0,50.0,50.0,50.0,2100
2020-06-09,50.0,50.0,50.0,50.0,1400
2020-06-10,50.0,50.0,50.0,50.0,1000
2020-06-11,50.0,50.0,50.0,50.0,203300
2020-06-12,50.0,50.0,50.0,50.0,6100
2020-06-15,50.0,50.0,50.0,50.0,58600
2020-06-16,50.0,50.0,50.0,50.0,11800
2020-06-17,50.0,50.0,50.0,50.0,113400
2020-06-18,50.0,50.0,50.0,50.0,21900
2020-06-19,50.0,50.0,50.0,50.0,3000
2020-06-22,50.0,50.0,50.0,50.0,21200
2020-06-23,50.0,50.0,50.0,50.0,1000
2020-06-24,50.0,50.0,50.0,50.0,130000
2020-06-25,50.0,50.0,50.0,50.0,9500
2020-06-26,50.0,50.0,50.0,50.0,2200
2020-06-29,50.0,50.0,50.0,50.0,1800
2020-06-30,50.0,50.0,50.0,50.0,6100
2020-07-01,50.0,50.0,50.0,50.0,1100
2020-07-02,50.0,50.0,50.0,50.0,300
2020-07-03,50.0,50.0,50.0,50.0,0
2020-07-06,50.0,50.0,50.0,50.0,30100
2020-07-07,50.0,50.0,50.0,50.0,0
2020-07-08,50.0,50.0,50.0,50.0,2200
2020-07-09,50.0,50.0,50.0,50.0,500
2020-07-10,50.0,50.0,50.0,50.0,0
2020-07-13,50.0,50.0,50.0,50.0,100
2020-07-14,50.0,50.0,50.0,50.0,900
2020-07-15,50.0,50.0,50.0,50.0,203800
2020-07-16,50.0,50.0,50.0,50.0,0
2020-07-17,50.0,50.0,50.0,50.0,10100
2020-07-20,50.0,50.0,50.0,50.0,1200
2020-07-21,50.0,50.0,50.0,50.0,0
2020-07-22,50.0,50.0,50.0,50.0,100
2020-07-23,50.0,50.0,50.0,50.0,1010000
2020-07-24,50.0,50.0,50.0,50.0,300
2020-07-27,50.0,50.0,50.0,50.0,180100
2020-07-28,50.0,50.0,50.0,50.0,0
2020-07-29,50.0,50.0,50.0,50.0,100
2020-07-30,50.0,50.0,50.0,50.0,0
2020-08-03,50.0,50.0,50.0,50.0,200
2020-08-04,50.0,50.0,50.0,50.0,400
2020-08-05,50.0,50.0,50.0,50.0,22200
2020-08-06,50.0,50.0,50.0,50.0,200
2020-08-07,50.0,50.0,50.0,50.0,2000
2020-08-10,50.0,50.0,50.0,50.0,100
2020-08-11,50.0,50.0,50.0,50.0,0
2020-08-12,50.0,50.0,50.0,50.0,7000
2020-08-13,50.0,50.0,50.0,50.0,300
2020-08-14,50.0,50.0,50.0,50.0,300
2020-08-18,50.0,50.0,50.0,50.0,200
2020-08-19,50.0,50.0,50.0,50.0,11700
2020-08-24,50.0,50.0,50.0,50.0,10000
2020-08-25,50.0,50.0,50.0,50.0,0
2020-08-26,50.0,50.0,50.0,50.0,10400
2020-08-27,50.0,50.0,50.0,50.0,338800
2020-08-28,50.0,50.0,50.0,50.0,1000
2020-08-31,50.0,50.0,50.0,50.0,20000
2020-09-01,50.0,50.0,50.0,50.0,162100
2020-09-02,50.0,50.0,50.0,50.0,1182900
2020-09-03,50.0,50.0,50.0,50.0,10108500
2020-09-04,50.0,50.0,50.0,50.0,82100
2020-09-07,50.0,50.0,50.0,50.0,2000
2020-09-08,50.0,50.0,50.0,50.0,1500
2020-09-09,50.0,50.0,50.0,50.0,7200
2020-09-10,50.0,50.0,50.0,50.0,0
2020-09-11,50.0,50.0,50.0,50.0,0
2020-09-14,50.0,50.0,50.0,50.0,200
2020-09-15,50.0,50.0,50.0,50.0,2307500
2020-09-16,50.0,50.0,50.0,50.0,1300
2020-09-17,50.0,50.0,50.0,50.0,600
2020-09-18,50.0,50.0,50.0,50.0,900
2020-09-21,50.0,50.0,50.0,50.0,200
2020-09-22,50.0,50.0,50.0,50.0,20700
2020-09-23,50.0,50.0,50.0,50.0,0
2020-09-24,50.0,50.0,50.0,50.0,400
2020-09-25,50.0,50.0,50.0,50.0,0
2020-09-28,50.0,50.0,50.0,50.0,2100
2020-09-29,50.0,50.0,50.0,50.0,500
2020-09-30,50.0,50.0,50.0,50.0,0
2020-10-01,50.0,50.0,50.0,50.0,1000
2020-10-02,50.0,50.0,50.0,50.0,3000
2020-10-05,50.0,50.0,50.0,50.0,0
2020-10-06,50.0,50.0,50.0,50.0,150400
2020-10-07,50.0,50.0,50.0,50.0,400
2020-10-08,50.0,50.0,50.0,50.0,50400
2020-10-09,50.0,50.0,50.0,50.0,140300
2020-10-12,50.0,50.0,50.0,50.0,200
2020-10-13,50.0,50.0,50.0,50.0,300
2020-10-14,50.0,50.0,50.0,50.0,4100
2020-10-15,50.0,50.0,50.0,50.0,6200
2020-10-16,50.0,50.0,50.0,50.0,300
2020-10-19,50.0,50.0,50.0,50.0,51200
2020-10-20,50.0,50.0,50.0,50.0,20900
2020-10-21,50.0,50.0,50.0,50.0,11300
2020-10-22,50.0,50.0,50.0,50.0,0
2020-10-23,50.0,50.0,50.0,50.0,100
2020-10-26,50.0,50.0,50.0,50.0,28200
2020-10-27,50.0,50.0,50.0,50.0,0
2020-11-02,50.0,50.0,50.0,50.0,2000
2020-11-03,50.0,50.0,50.0,50.0,10100
2020-11-04,50.0,50.0,50.0,50.0,200
2020-11-05,50.0,50.0,50.0,50.0,1300
2020-11-06,50.0,50.0,50.0,50.0,23200
2020-11-09,50.0,50.0,50.0,50.0,544000
2020-11-10,50.0,50.0,50.0,50.0,9800
2020-11-11,50.0,50.0,50.0,50.0,33000
2020-11-12,50.0,50.0,50.0,50.0,3800
2020-11-13,50.0,50.0,50.0,50.0,2200
2020-11-16,50.0,50.0,50.0,50.0,25000
2020-11-17,50.0,50.0,50.0,50.0,40100
2020-11-18,50.0,50.0,50.0,50.0,100
2020-11-19,50.0,50.0,50.0,50.0,27400
2020-11-20,50.0,50.0,50.0,50.0,85200
2020-11-23,50.0,50.0,50.0,50.0,44600
2020-11-24,50.0,50.0,50.0,50.0,516600
2020-11-25,50.0,50.0,50.0,50.0,14733100
2020-11-26,50.0,50.0,50.0,50.0,11822000
2020-11-27,50.0,50.0,50.0,50.0,2578000
2020-11-30,50.0,50.0,50.0,50.0,416500
2020-12-01,50.0,50.0,50.0,50.0,89100
2020-12-02,50.0,50.0,50.0,50.0,93700
2020-12-03,50.0,50.0,50.0,50.0,161800
2020-12-04,50.0,50.0,50.0,50.0,1205800
2020-12-07,50.0,50.0,50.0,50.0,4903000
2020-12-08,50.0,50.0,50.0,50.0,635200
2020-12-10,50.0,50.0,50.0,50.0,114500
2020-12-11,50.0,50.0,50.0,50.0,64600
2020-12-14,50.0,50.0,50.0,50.0,196900
2020-12-15,50.0,50.0,50.0,50.0,86100
2020-12-16,50.0,50.0,50.0,50.0,216800
2020-12-17,50.0,50.0,50.0,50.0,5646600
2020-12-18,50.0,50.0,50.0,50.0,13518200
2020-12-21,50.0,50.0,50.0,50.0,949300
2020-12-22,50.0,50.0,50.0,50.0,36800
2020-12-23,50.0,50.0,50.0,50.0,28200
2020-12-28,50.0,50.0,50.0,50.0,12300
2020-12-29,50.0,50.0,50.0,50.0,223800
2020-12-30,50.0,50.0,50.0,50.0,176500
2021-01-04,50.0,50.0,50.0,50.0,187300
2021-01-05,50.0,50.0,50.0,50.0,495700
2021-01-06,50.0,50.0,50.0,50.0,36900
2021-01-07,50.0,50.0,50.0,50.0,1400
2021-01-08,50.0,50.0,50.0,50.0,35700
2021-01-11,50.0,50.0,50.0,50.0,102900
2021-01-12,50.0,50.0,50.0,50.0,137700
2021-01-13,50.0,50.0,50.0,50.0,8004600
2021-01-14,50.0,50.0,50.0,50.0,42187300
2021-01-15,50.0,57.0,50.0,53.0,2449468100
2021-01-18,54.0,70.0,53.0,70.0,3077462900
2021-01-19,72.0,74.0,66.0,66.0,1056130300
2021-01-20,63.0,63.0,62.0,62.0,56017400
2021-01-21,58.0,62.0,58.0,58.0,132579600
2021-01-22,54.0,54.0,54.0,54.0,82245200
2021-01-25,51.0,51.0,51.0,51.0,56323000
2021-01-26,50.0,50.0,50.0,50.0,37766800
2021-01-27,50.0,50.0,50.0,50.0,6861700
2021-01-28,50.0,50.0,50.0,50.0,6622200
2021-01-29,50.0,50.0,50.0,50.0,1528500
2021-02-01,50.0,50.0,50.0,50.0,5775500
2021-02-02,50.0,53.0,50.0,50.0,443312000
2021-02-03,50.0,50.0,50.0,50.0,6276800
2021-02-04,50.0,50.0,50.0,50.0,672200
2021-02-05,50.0,50.0,50.0,50.0,5422900
2021-02-08,50.0,50.0,50.0,50.0,15767200
2021-02-09,50.0,50.0,50.0,50.0,2839800
2021-02-10,50.0,50.0,50.0,50.0,2781300
2021-02-11,50.0,50.0,50.0,50.0,435200
2021-02-15,50.0,50.0,50.0,50.0,1233400
2021-02-16,50.0,50.0,50.0,50.0,622400
2021-02-17,50.0,50.0,50.0,50.0,494900
2021-02-18,50.0,50.0,50.0,50.0,1953800
2021-02-19,50.0,50.0,50.0,50.0,529200
2021-02-22,50.0,50.0,50.0,50.0,1587700
2021-02-23,50.0,50.0,50.0,50.0,2450600
2021-02-24,50.0,50.0,50.0,50.0,396600
2021-02-25,50.0,50.0,50.0,50.0,4023000
2021-02-26,50.0,50.0,50.0,50.0,2532600
2021-03-01,50.0,50.0,50.0,50.0,589100
2021-03-02,50.0,50.0,50.0,50.0,409300
2021-03-03,50.0,50.0,50.0,50.0,833500
2021-03-04,50.0,50.0,50.0,50.0,1312700
2021-03-05,50.0,50.0,50.0,50.0,415500
2021-03-08,50.0,50.0,50.0,50.0,537800
2021-03-09,50.0,50.0,50.0,50.0,289900
2021-03-10,50.0,50.0,50.0,50.0,301300
2021-03-12,50.0,50.0,50.0,50.0,1498200
2021-03-15,50.0,50.0,50.0,50.0,408500
2021-03-16,50.0,50.0,50.0,50.0,2732600
2021-03-17,50.0,50.0,50.0,50.0,178600
2021-03-18,50.0,50.0,50.0,50.0,616600
2021-03-19,50.0,51.0,50.0,50.0,145119700
2021-03-22,50.0,50.0,50.0,50.0,23861500
2021-03-23,50.0,54.0,50.0,50.0,829781600
2021-03-24,50.0,51.0,50.0,50.0,26157700
2021-03-25,50.0,50.0,50.0,50.0,622900
2021-03-26,50.0,50.0,50.0,50.0,482500
2021-03-29,50.0,50.0,50.0,50.0,971400
2021-03-30,50.0,50.0,50.0,50.0,177100
2021-03-31,50.0,50.0,50.0,50.0,34700
2021-04-01,50.0,50.0,50.0,50.0,222200
2021-04-05,50.0,50.0,50.0,50.0,40700
2021-04-06,50.0,50.0,50.0,50.0,45000
2021-04-07,50.0,50.0,50.0,50.0,243300
2021-04-08,50.0,50.0,50.0,50.0,130400
2021-04-09,50.0,50.0,50.0,50.0,1255700
2021-04-12,50.0,50.0,50.0,50.0,247200
2021-04-13,50.0,50.0,50.0,50.0,55100
2021-04-14,50.0,50.0,50.0,50.0,139900
2021-04-15,50.0,50.0,50.0,50.0,57600
2021-04-16,50.0,50.0,50.0,50.0,222200
2021-04-19,50.0,50.0,50.0,50.0,49800
2021-04-20,50.0,50.0,50.0,50.0,31200
2021-04-21,50.0,50.0,50.0,50.0,37600
2021-04-22,50.0,50.0,50.0,50.0,87800
2021-04-23,50.0,50.0,50.0,50.0,355000
2021-04-26,50.0,50.0,50.0,50.0,147100
2021-04-27,50.0,50.0,50.0,50.0,126600
2021-04-28,50.0,50.0,50.0,50.0,169800
2021-04-29,50.0,50.0,50.0,50.0,31100
2021-04-30,50.0,50.0,50.0,50.0,47300
2021-05-03,50.0,50.0,50.0,50.0,543200
2021-05-04,50.0,50.0,50.0,50.0,572800
2021-05-05,50.0,50.0,50.0,50.0,142800
2021-05-06,50.0,50.0,50.0,50.0,50400
2021-05-07,50.0,50.0,50.0,50.0,459200
2021-05-10,50.0,50.0,50.0,50.0,247100
2021-05-11,50.0,50.0,50.0,50.0,132500
2021-05-17,50.0,50.0,50.0,50.0,137900
2021-05-18,50.0,50.0,50.0,50.0,655700
2021-05-19,50.0,50.0,50.0,50.0,71200
2021-05-20,50.0,50.0,50.0,50.0,56000
2021-05-21,50.0,50.0,50.0,50.0,49100
2021-05-24,50.0,50.0,50.0,50.0,104600
2021-05-25,50.0,50.0,50.0,50.0,23200
2021-05-27,50.0,50.0,50.0,50.0,15100
2021-05-28,50.0,50.0,50.0,50.0,58900
2021-05-31,50.0,50.0,50.0,50.0,93100
2021-06-02,50.0,50.0,50.0,50.0,139600
2021-06-03,50.0,50.0,50.0,50.0,15600
2021-06-04,50.0,50.0,50.0,50.0,1147700
2021-06-07,50.0,50.0,50.0,50.0,387400
2021-06-08,50.0,50.0,50.0,50.0,288600
2021-06-09,50.0,50.0,50.0,50.0,450300
2021-06-10,50.0,50.0,50.0,50.0,160600
2021-06-11,50.0,50.0,50.0,50.0,1038300
2021-06-14,50.0,50.0,50.0,50.0,166900
2021-06-15,50.0,50.0,50.0,50.0,110500
2021-06-16,50.0,50.0,50.0,50.0,59700
2021-06-17,50.0,50.0,50.0,50.0,86400
2021-06-18,50.0,50.0,50.0,50.0,90100
2021-06-21,50.0,50.0,50.0,50.0,63200
2021-06-22,50.0,50.0,50.0,50.0,20800
2021-06-23,50.0,50.0,50.0,50.0,699600
2021-06-24,50.0,50.0,50.0,50.0,345900
2021-06-25,50.0,50.0,50.0,50.0,297800
2021-06-28,50.0,50.0,50.0,50.0,14600
2021-06-29,50.0,50.0,50.0,50.0,79200
2021-06-30,50.0,50.0,50.0,50.0,446000
2021-07-01,50.0,50.0,50.0,50.0,29000
2021-07-02,50.0,50.0,50.0,50.0,22500
2021-07-05,50.0,50.0,50.0,50.0,15000
2021-07-06,50.0,50.0,50.0,50.0,1624000
2021-07-07,50.0,50.0,50.0,50.0,272700
2021-07-08,50.0,50.0,50.0,50.0,169300
2021-07-09,50.0,50.0,50.0,50.0,20800
2021-07-12,50.0,50.0,50.0,50.0,674500
2021-07-13,50.0,50.0,50.0,50.0,7400
2021-07-14,50.0,50.0,50.0,50.0,7500
2021-07-15,50.0,50.0,50.0,50.0,66000
2021-07-16,50.0,50.0,50.0,50.0,2600
2021-07-19,50.0,50.0,50.0,50.0,26000
2021-07-21,50.0,50.0,50.0,50.0,12600
2021-07-22,50.0,50.0,50.0,50.0,44300
2021-07-23,50.0,50.0,50.0,50.0,745200
2021-07-26,50.0,50.0,50.0,50.0,15900
2021-07-27,50.0,50.0,50.0,50.0,12800
2021-07-28,50.0,50.0,50.0,50.0,127300
2021-07-29,50.0,50.0,50.0,50.0,141500
2021-07-30,50.0,50.0,50.0,50.0,15600
2021-08-02,50.0,50.0,50.0,50.0,463800
2021-08-03,50.0,50.0,50.0,50.0,170900
2021-08-04,50.0,50.0,50.0,50.0,107400
2021-08-05,50.0,50.0,50.0,50.0,6800
2021-08-06,50.0,50.0,50.0,50.0,20800
2021-08-09,50.0,50.0,50.0,50.0,8600
2021-08-10,50.0,50.0,50.0,50.0,552400
2021-08-12,50.0,50.0,50.0,50.0,22700
2021-08-13,50.0,50.0,50.0,50.0,2300
2021-08-16,50.0,50.0,50.0,50.0,248500
2021-08-18,50.0,50.0,50.0,50.0,107700
2021-08-19,50.0,50.0,50.0,50.0,67300
2021-08-20,50.0,50.0,50.0,50.0,72000
2021-08-23,50.0,50.0,50.0,50.0,6400
2021-08-24,50.0,50.0,50.0,50.0,9500
2021-08-25,50.0,50.0,50.0,50.0,199300
2021-08-26,50.0,50.0,50.0,50.0,30800
2021-08-27,50.0,50.0,50.0,50.0,566500
2021-08-30,50.0,50.0,50.0,50.0,40000
2021-08-31,50.0,50.0,50.0,50.0,77700
2021-09-01,50.0,50.0,50.0,50.0,55000
2021-09-02,50.0,50.0,50.0,50.0,3800
2021-09-03,50.0,50.0,50.0,50.0,24600
2021-09-06,50.0,50.0,50.0,50.0,262800
2021-09-07,50.0,50.0,50.0,50.0,57600
2021-09-08,50.0,50.0,50.0,50.0,93500
2021-09-09,50.0,50.0,50.0,50.0,71600
2021-09-10,50.0,50.0,50.0,50.0,399500
2021-09-13,50.0,50.0,50.0,50.0,134500
2021-09-14,50.0,50.0,50.0,50.0,38900
2021-09-15,50.0,50.0,50.0,50.0,40500
2021-09-16,50.0,50.0,50.0,50.0,5900
2021-09-17,50.0,50.0,50.0,50.0,17600
2021-09-20,50.0,50.0,50.0,50.0,38000
2021-09-21,50.0,50.0,50.0,50.0,3900
2021-09-22,50.0,50.0,50.0,50.0,18900
2021-09-23,50.0,50.0,50.0,50.0,38000
2021-09-24,50.0,50.0,50.0,50.0,385600
2021-09-27,50.0,50.0,50.0,50.0,227000
2021-09-28,50.0,50.0,50.0,50.0,1481800
2021-09-29,50.0,50.0,50.0,50.0,4282300
2021-09-30,50.0,50.0,50.0,50.0,4153400
2021-10-01,50.0,50.0,50.0,50.0,904400
2021-10-04,50.0,53.0,50.0,50.0,953365400
2021-10-05,50.0,53.0,50.0,50.0,528262700
2021-10-06,50.0,51.0,50.0,50.0,116973300
2021-10-07,50.0,50.0,50.0,50.0,3538900
2021-10-08,50.0,50.0,50.0,50.0,3168400
2021-10-11,50.0,50.0,50.0,50.0,3460600
2021-10-12,50.0,50.0,50.0,50.0,12021000
2021-10-13,50.0,50.0,50.0,50.0,238400
2021-10-14,50.0,50.0,50.0,50.0,83500
2021-10-15,50.0,50.0,50.0,50.0,689200
2021-10-18,50.0,50.0,50.0,50.0,2043900
2021-10-19,50.0,50.0,50.0,50.0,472100
2021-10-21,50.0,50.0,50.0,50.0,772100
2021-10-22,50.0,50.0,50.0,50.0,200300
2021-10-25,50.0,50.0,50.0,50.0,3435100
2021-10-26,50.0,50.0,50.0,50.0,178000
2021-10-27,50.0,50.0,50.0,50.0,170200
2021-10-28,50.0,50.0,50.0,50.0,16500
2021-10-29,50.0,50.0,50.0,50.0,156100
2021-11-01,50.0,50.0,50.0,50.0,27500
2021-11-02,50.0,50.0,50.0,50.0,141200
2021-11-03,50.0,50.0,50.0,50.0,511100
2021-11-04,50.0,50.0,50.0,50.0,156600
2021-11-05,50.0,50.0,50.0,50.0,24500
2021-11-08,50.0,50.0,50.0,50.0,10700
2021-11-09,50.0,50.0,50.0,50.0,277600
2021-11-10,50.0,50.0,50.0,50.0,482500
2021-11-11,50.0,50.0,50.0,50.0,882800
2021-11-12,50.0,50.0,50.0,50.0,250400
2021-11-15,50.0,50.0,50.0,50.0,104400
2021-11-16,50.0,50.0,50.0,50.0,228400
2021-11-17,50.0,50.0,50.0,50.0,663300
2021-11-18,50.0,50.0,50.0,50.0,869200
2021-11-19,50.0,50.0,50.0,50.0,155300
2021-11-22,50.0,50.0,50.0,50.0,79800
2021-11-23,50.0,50.0,50.0,50.0,140400
2021-11-24,50.0,50.0,50.0,50.0,1499000
2021-11-25,50.0,50.0,50.0,50.0,156800
2021-11-26,50.0,50.0,50.0,50.0,72800
2021-11-29,50.0,50.0,50.0,50.0,222700
2021-11-30,50.0,50.0,50.0,50.0,80100
2021-12-01,50.0,50.0,50.0,50.0,35800
2021-12-02,50.0,50.0,50.0,50.0,245700
2021-12-03,50.0,50.0,50.0,50.0,304500
2021-12-06,50.0,50.0,50.0,50.0,61700
2021-12-07,50.0,50.0,50.0,50.0,8100
2021-12-08,50.0,50.0,50.0,50.0,13900
2021-12-09,50.0,50.0,50.0,50.0,24200
2021-12-10,50.0,50.0,50.0,50.0,22000
2021-12-13,50.0,50.0,50.0,50.0,92800
2021-12-14,50.0,50.0,50.0,50.0,2291700
2021-12-15,50.0,50.0,50.0,50.0,1354400
2021-12-16,50.0,50.0,50.0,50.0,578500
2021-12-17,50.0,50.0,50.0,50.0,173700
2021-12-20,50.0,50.0,50.0,50.0,225400
2021-12-21,50.0,50.0,50.0,50.0,51000
2021-12-22,50.0,50.0,50.0,50.0,97500
2021-12-23,50.0,50.0,50.0,50.0,347000
2021-12-24,50.0,50.0,50.0,50.0,182700
2021-12-27,50.0,50.0,50.0,50.0,9100
2021-12-28,50.0,50.0,50.0,50.0,454400
2021-12-29,50.0,50.0,50.0,50.0,19900
2021-12-30,50.0,50.0,50.0,50.0,191900
2022-01-03,50.0,50.0,50.0,50.0,25500
2022-01-04,50.0,50.0,50.0,50.0,7200
2022-01-05,50.0,50.0,50.0,50.0,41800
2022-01-06,50.0,50.0,50.0,50.0,19000
2022-01-07,50.0,50.0,50.0,50.0,219800
2022-01-10,50.0,50.0,50.0,50.0,157800
2022-01-11,50.0,50.0,50.0,50.0,6200
2022-01-12,50.0,50.0,50.0,50.0,7300
2022-01-13,50.0,50.0,50.0,50.0,37200
2022-01-14,50.0,50.0,50.0,50.0,6400
2022-01-17,50.0,50.0,50.0,50.0,16000
2022-01-18,50.0,50.0,50.0,50.0,119900
2022-01-19,50.0,50.0,50.0,50.0,87500
2022-01-20,50.0,50.0,50.0,50.0,114800
2022-01-21,50.0,50.0,50.0,50.0,476700
2022-01-24,50.0,50.0,50.0,50.0,26500
2022-01-25,50.0,50.0,50.0,50.0,75300
2022-01-26,50.0,50.0,50.0,50.0,13000
2022-01-27,50.0,50.0,50.0,50.0,21800
2022-01-28,50.0,50.0,50.0,50.0,38600
2022-01-31,50.0,50.0,50.0,50.0,33900
2022-02-02,50.0,50.0,50.0,50.0,54000
2022-02-03,50.0,50.0,50.0,50.0,12900
2022-02-04,50.0,50.0,50.0,50.0,208600
2022-02-07,50.0,50.0,50.0,50.0,14000
2022-02-08,50.0,50.0,50.0,50.0,1418200
2022-02-09,50.0,50.0,50.0,50.0,535600
2022-02-10,50.0,50.0,50.0,50.0,1053100
2022-02-11,50.0,50.0,50.0,50.0,503400
2022-02-14,50.0,50.0,50.0,50.0,135000
2022-02-15,50.0,50.0,50.0,50.0,1893200
2022-02-16,50.0,50.0,50.0,50.0,677500
2022-02-17,50.0,50.0,50.0,50.0,85700
2022-02-18,50.0,50.0,50.0,50.0,69400
2022-02-21,50.0,50.0,50.0,50.0,17800
2022-02-22,50.0,50.0,50.0,50.0,15500
2022-02-23,50.0,50.0,50.0,50.0,251600
2022-02-24,50.0,50.0,50.0,50.0,22700
2022-02-25,50.0,50.0,50.0,50.0,63300
2022-03-01,50.0,50.0,50.0,50.0,213900
2022-03-02,50.0,50.0,50.0,50.0,106400
2022-03-04,50.0,50.0,50.0,50.0,506000
2022-03-07,50.0,50.0,50.0,50.0,3506200
