Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,720,739,729,9.76,7,729.0,0.0268,710.0,190.42,1
Resistance,751,782,767,15.38,6,767.0,0.0803,710.0,66.46,2
Resistance,829,881,855,25.98,3,855.0,0.2042,710.0,14.0,3
Resistance,1030,1064,1047,17.18,5,1047.0,0.4746,710.0,10.32,4
Resistance,954,1016,985,31.09,4,985.0,0.3873,710.0,10.07,5
Resistance,1200,1200,1200,0.0,1,1200.0,0.6901,710.0,1.43,6
Support,626,684,655,28.84,16,655.0,0.0775,710.0,182.93,1
Support,349,380,365,15.51,50,365.0,0.4859,710.0,100.82,2
Support,469,511,490,21.01,16,490.0,0.3099,710.0,50.02,3
Support,424,454,439,15.02,19,439.0,0.3817,710.0,48.51,4
Support,282,323,303,20.25,26,303.0,0.5732,710.0,44.58,5
Support,206,242,224,18.37,6,224.0,0.6845,710.0,8.64,6
