Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,719,734,727,7.53,6,727.0,0.0239,710.0,176.76,1
Resistance,747,772,759,12.42,6,759.0,0.069,710.0,75.94,2
Resistance,783,832,808,24.75,2,808.0,0.138,710.0,13.51,3
Resistance,870,870,870,0.0,2,870.0,0.2254,710.0,8.5,4
Resistance,990,1010,1000,10.0,3,1000.0,0.4085,710.0,7.17,5
Resistance,1048,1069,1058,10.41,3,1058.0,0.4901,710.0,6.0,6
Resistance,1030,1030,1030,0.0,2,1030.0,0.4507,710.0,4.34,7
Resistance,940,940,940,0.0,1,940.0,0.3239,710.0,2.99,8
Resistance,1200,1200,1200,0.0,1,1200.0,0.6901,710.0,1.43,9
Support,663,690,677,13.23,9,677.0,0.0465,710.0,159.35,1
Support,333,356,344,11.63,31,344.0,0.5155,710.0,58.99,2
Support,368,386,377,9.09,27,377.0,0.469,710.0,56.37,3
Support,613,640,626,13.76,7,626.0,0.1183,710.0,54.56,4
Support,467,490,479,11.38,15,479.0,0.3254,710.0,44.73,5
Support,422,449,436,13.28,17,436.0,0.3859,710.0,42.94,6
Support,274,305,290,15.55,19,290.0,0.5915,710.0,31.59,7
Support,511,542,527,15.28,3,527.0,0.2577,710.0,11.2,8
Support,207,228,218,10.71,5,218.0,0.693,710.0,7.11,9
