Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,383,414,399,15.52,20,399.0,0.0902,366.0,199.67,1
Resistance,430,449,440,9.79,9,440.0,0.2022,366.0,42.42,2
Resistance,461,477,469,7.73,10,469.0,0.2814,366.0,34.31,3
Resistance,491,503,497,5.96,10,497.0,0.3579,366.0,27.18,4
Resistance,515,530,522,7.56,8,522.0,0.4262,366.0,18.34,5
Resistance,607,639,623,16.14,13,623.0,0.7022,366.0,18.25,6
Resistance,542,571,557,14.43,3,557.0,0.5219,366.0,5.64,7
Resistance,662,681,671,9.46,4,671.0,0.8333,366.0,4.74,8
Resistance,744,751,748,3.54,2,748.0,1.0437,366.0,1.9,9
Support,345,358,352,6.54,5,352.0,0.0383,366.0,103.62,1
Support,265,275,270,4.6,18,270.0,0.2623,366.0,66.1,2
Support,176,184,180,4.14,33,180.0,0.5082,366.0,63.68,3
Support,248,256,252,3.67,17,252.0,0.3115,366.0,52.88,4
Support,295,309,302,6.86,6,302.0,0.1749,366.0,32.46,5
Support,217,223,220,2.73,9,220.0,0.3989,366.0,22.01,6
Support,191,201,196,5.2,9,196.0,0.4645,366.0,18.97,7
Support,230,236,233,3.24,7,233.0,0.3634,366.0,18.75,8
Support,137,152,144,7.13,5,144.0,0.6066,366.0,8.11,9
