Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,2430,2528,2479,49.1,18,2479.0,0.0329,2400.0,419.42,1
Resistance,2826,2907,2867,40.11,29,2867.0,0.1946,2400.0,141.75,2
Resistance,2692,2770,2731,38.51,20,2731.0,0.1379,2400.0,135.21,3
Resistance,2976,3084,3030,54.04,11,3030.0,0.2625,2400.0,40.37,4
Resistance,3775,3915,3845,69.77,20,3845.0,0.6021,2400.0,32.68,5
Resistance,4049,4223,4136,87.49,15,4136.0,0.7233,2400.0,20.45,6
Resistance,3515,3607,3561,46.06,10,3561.0,0.4838,2400.0,20.25,7
Resistance,3293,3454,3373,80.66,6,3373.0,0.4054,2400.0,14.44,8
Resistance,4337,4512,4424,87.77,9,4424.0,0.8433,2400.0,10.55,9
Support,2342,2368,2355,12.91,4,2355.0,0.0187,2400.0,139.13,1
Support,2223,2254,2239,15.74,7,2239.0,0.0671,2400.0,90.81,2
Support,2161,2194,2178,16.41,9,2178.0,0.0925,2400.0,87.8,3
Support,2301,2312,2307,5.77,3,2307.0,0.0387,2400.0,61.54,4
Support,2003,2041,2022,18.59,10,2022.0,0.1575,2400.0,59.7,5
Support,1905,1953,1929,23.75,11,1929.0,0.1963,2400.0,53.33,6
Support,2078,2122,2100,21.6,4,2100.0,0.125,2400.0,29.63,7
Support,1770,1804,1787,17.18,5,1787.0,0.2554,2400.0,18.84,8
Support,1385,1385,1385,0.0,1,1385.0,0.4229,2400.0,2.31,9
