Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,392,401,397,4.34,10,397.0,0.0179,390.0,357.8,1
Resistance,416,426,421,4.87,14,421.0,0.0795,390.0,156.45,2
Resistance,433,438,436,2.61,5,436.0,0.1179,390.0,39.08,3
Resistance,457,479,468,11.31,2,468.0,0.2,390.0,9.52,4
Resistance,501,529,515,14.14,2,515.0,0.3205,390.0,6.05,5
Support,359,383,371,12.0,16,371.0,0.0487,390.0,272.49,1
Support,299,323,311,12.25,50,311.0,0.2026,390.0,235.22,2
Support,262,286,274,12.18,33,274.0,0.2974,390.0,107.34,3
Support,193,228,211,17.11,32,211.0,0.459,390.0,68.23,4
Support,126,164,145,18.89,6,145.0,0.6282,390.0,9.4,5
