Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,62,66,64,1.92,8,64.0,0.0667,60.0,104.35,1
Resistance,71,75,73,2.23,10,73.0,0.2167,60.0,44.12,2
Resistance,78,81,80,1.67,5,80.0,0.3333,60.0,14.56,3
Resistance,86,91,89,2.31,3,89.0,0.4833,60.0,6.08,4
Resistance,92,95,93,1.53,3,93.0,0.55,60.0,5.36,5
Support,58,59,59,0.49,7,59.0,0.0167,60.0,262.5,1
Support,55,57,56,0.79,10,56.0,0.0667,60.0,130.43,2
Support,53,54,54,0.49,7,54.0,0.1,60.0,63.64,3
Support,52,52,52,0.0,6,52.0,0.1333,60.0,41.86,4
Support,50,51,50,0.58,3,50.0,0.1667,60.0,16.98,5
